budget,release_date,revenue,vote_average,vote_count,year,Success
3000000,1993-08-13,15938065,4.2,193,1993,True
44000000,2015-12-25,155760117,7.6,4274,2015,True
50000000,2012-06-29,549368315,6.3,4697,2012,True
35000000,1995-07-07,113374103,5.5,453,1995,True
27000000,2016-05-12,93282604,6.5,1068,2016,True
4500000,1956-06-27,10400000,6.9,89,1956,True
60000000,2012-08-03,107139399,6.7,789,2012,True
20000000,2008-09-19,36620508,5.4,220,2008,True
12000000,1999-03-12,36450736,3.3,75,1999,True
70000000,2008-10-10,113280098,6.5,895,2008,True
46000000,1981-05-04,5200000,6.5,2,1981,False
88000000,2005-06-02,108539911,7.3,616,2005,False
2000000,1947-11-11,7800000,6.8,47,1947,True
115000000,2016-04-06,164602163,6.0,1523,2016,False
20000000,2016-07-28,183936074,6.3,1252,2016,True
55000000,2003-08-01,231449203,6.0,1129,2003,True
60000000,2004-03-05,170268750,5.6,644,2004,True
72000000,2001-10-19,27642707,7.0,285,2001,False
8000000,2003-11-16,60378584,7.0,485,2003,True
28000000,2005-09-16,121147947,7.7,1358,2005,True
12000000,1992-08-07,37170057,5.9,65,1992,True
32000000,2009-11-25,27635305,6.8,1087,2009,False
25000000,2016-07-13,15436808,6.6,573,2016,False
103000000,2000-05-01,457640427,7.9,5439,2000,True
56000000,2005-03-04,113006880,5.8,842,2005,True
65000000,2005-11-06,64321501,6.1,779,2005,False
24000000,1991-09-09,41895491,7.2,341,1991,True
500000,1973-10-02,3000000,7.2,345,1973,True
8500000,1987-07-31,32222567,6.8,538,1987,True
28000000,2010-01-15,45236543,5.5,345,2010,True
37000000,2013-08-07,269994119,6.8,2972,2013,True
50000000,1995-10-06,30303072,6.0,387,1995,False
14000000,2014-11-14,233555708,8.0,5723,2014,True
70000000,2007-08-22,86658558,6.5,513,2007,False
6800000,2010-09-04,7103838,7.9,479,2010,False
75000000,2002-03-01,114660784,6.7,521,2002,True
17000000,2003-07-11,1569918,6.8,59,2003,False
22000000,1990-11-09,424208848,7.6,1046,1990,True
20000000,2012-04-12,32204030,5.8,715,2012,True
1500000,1988-02-26,11806119,6.6,363,1988,True
10000000,2001-01-27,44460850,6.6,67,2001,True
12000000,1999-09-10,21133087,6.5,330,1999,True
22000000,2009-09-18,35424826,6.0,301,2009,True
99000000,2015-11-05,246233113,6.5,604,2015,True
40000000,2012-12-19,41863726,5.4,284,2012,False
24000000,2006-09-01,23321954,5.6,61,2006,False
20000000,2008-04-10,65569869,6.3,363,2008,True
40000000,1992-06-30,70100000,5.4,134,1992,True
48000000,2001-10-22,50315140,7.1,695,2001,False
35000000,2011-11-09,84606030,6.0,741,2011,True
110000000,2006-10-20,574480841,6.3,2862,2006,True
40000000,2010-01-12,58785180,6.1,412,2010,False
