budget,release_date,revenue,vote_average,vote_count,year,Success
11000000,1989-02-16,49797148,6.6,217,1989,True
200000000,2003-07-02,435000000,5.9,2143,2003,True
32000000,2008-12-10,113019290,7.2,813,2008,True
20000000,2016-01-28,21164799,4.3,331,2016,False
5000000,2008-01-18,16174377,6.5,255,2008,True
50000000,2013-01-17,224803475,5.7,3239,2013,True
80000000,2000-11-02,39459427,6.3,251,2000,False
130000000,2009-03-05,185258983,7.0,2811,2009,False
15000000,2006-03-10,69623713,6.1,705,2006,True
4000000,2005-10-28,152925093,6.3,1251,2005,True
20000000,2008-09-09,5530764,6.8,203,2008,False
80000000,2005-04-08,162944923,6.2,392,2005,True
2000000,1973-12-17,18344729,7.0,200,1973,True
255000000,2013-07-03,89289910,5.9,2311,2013,False
65000000,2008-07-25,128107642,6.5,1062,2008,True
1000000,2001-04-21,10013424,5.9,48,2001,True
25000000,2010-10-08,19829957,5.2,147,2010,False
32000000,1997-03-26,3566637,7.1,24,1997,False
30000000,1989-06-09,70200000,5.6,376,1989,True
4000000,1969-12-18,6000000,6.1,77,1969,False
220000000,2012-04-25,1519557910,7.4,11776,2012,True
13500000,2002-09-01,29027914,6.9,144,2002,True
22000000,2003-09-19,95708457,6.6,2512,2003,True
2000000,1962-06-13,9250000,7.3,395,1962,True
40000000,2002-08-09,18902015,3.2,105,2002,False
7000000,2009-12-16,39462438,6.8,274,2009,True
13000000,1999-09-30,22863596,7.3,1101,1999,True
35000000,2010-04-23,77477008,5.7,458,2010,True
3800000,1999-05-14,28200000,6.5,59,1999,True
5000000,2012-04-27,9206470,6.5,320,2012,True
6000000,2012-12-26,31081,6.0,316,2012,False
15000000,2005-06-24,46770602,6.0,381,2005,True
52000000,2000-03-17,256271286,7.1,716,2000,True
80000000,2010-01-29,74901339,6.2,487,2010,False
40000000,2003-04-06,160583018,6.0,852,2003,True
15000000,2014-07-25,31554855,6.5,541,2014,True
30000000,2011-12-22,64626786,4.8,469,2011,True
18000000,2013-12-27,20275812,6.7,299,2013,False
75000000,2011-11-02,152930623,5.8,932,2011,True
80000000,2010-01-14,157107755,6.6,2164,2010,True
100000000,2004-07-22,82102379,4.2,808,2004,False
5000000,1995-09-29,15116634,5.0,170,1995,True
50000000,1995-03-10,189859560,6.3,513,1995,True
100000000,2009-06-05,68688831,5.3,381,2009,False
20000000,2010-09-01,31327899,6.3,1150,2010,True
50000000,2005-06-10,69425966,4.4,269,2005,False
39200000,2013-08-01,86758912,6.7,2854,2013,True
9000000,2007-02-09,46,6.9,497,2007,False
4000000,2001-11-11,44909486,6.5,250,2001,True
300000,2005-07-22,1750211,6.9,23,2005,True
8000,2011-09-22,469947,7.4,163,2011,True
25,1999-12-25,13,7.0,59,1999,False
12000000,2008-10-10,40855419,5.5,339,2008,True
73000000,1999-11-04,151493655,6.5,826,1999,True
6000000,1964-08-27,102272727,7.4,1183,1964,True
30000000,2007-02-14,16930884,5.7,313,2007,False
100000000,2013-12-25,392000694,7.9,6571,2013,True
45000000,1994-06-23,788241776,8.0,5376,1994,True
3800000,1976-11-01,23689877,7.7,381,1976,True
22000000,1994-11-10,189833357,6.3,489,1994,True
160000000,2011-05-24,353624124,7.1,5181,2011,True
30000000,2000-05-31,173959438,5.6,506,2000,True
1300000,1988-03-04,354704,6.7,27,1988,False
13000000,2013-07-18,318000141,7.4,3092,2013,True
25000000,2009-10-01,20719451,6.8,28,2009,False
45000000,1997-04-11,136885767,4.7,610,1997,True
2000000,2010-10-08,7871522,7.7,286,2010,True
25000000,1986-12-19,38748395,6.6,384,1986,True
50000000,1998-07-29,44547681,6.8,582,1998,False
18000000,2013-09-25,7972967,6.7,83,2013,False
33000000,2008-12-09,269958228,7.8,3086,2008,True
11000000,1991-09-05,34872033,5.1,272,1991,True
45000000,2008-09-15,9323833,6.3,90,2008,False
17000000,1963-05-06,10000000,6.3,36,1963,False
25000000,2002-10-25,17000000,6.9,530,2002,False
8000000,2014-02-12,53086,5.1,41,2014,False
20000000,2002-02-14,109862682,6.1,290,2002,True
28000000,2014-10-08,100654149,6.1,493,2014,True
70000000,2002-06-07,65977295,5.4,228,2002,False
3730500,2012-09-11,6294161,5.7,109,2012,True
50000000,2010-10-15,105197635,5.8,510,2010,True
40600000,1983-06-07,90400000,7.1,738,1983,True
28000000,2004-03-19,102356381,6.8,1016,2004,True
150000000,2006-11-14,599045960,7.3,3855,2006,True
20000000,2005-01-28,10442808,3.1,173,2005,False
16000000,2009-01-09,76514050,4.8,365,2009,True
26000000,2012-03-09,29657751,6.1,426,2012,False
25000000,2004-09-06,56422687,6.1,537,2004,True
21000000,1993-03-17,42000000,5.1,184,1993,True
33000000,2009-09-08,20645327,6.5,774,2009,False
2600000,2007-09-20,553198,7.0,308,2007,False
60000000,2003-09-02,119940815,5.8,391,2003,True
2600000,1993-09-17,2850263,6.1,20,1993,False
40000000,1992-02-28,14358033,5.7,125,1992,False
23000000,2004-01-09,12,6.1,152,2004,False
9000000,1996-11-06,41590886,6.9,66,1996,True
50000000,2003-02-21,38955598,7.3,480,2003,False
125000000,2004-05-26,544272402,6.2,2392,2004,True
150000000,2003-11-14,212011111,6.9,790,2003,False
150000000,2005-11-05,895921036,7.5,5608,2005,True
7000000,2009-10-02,31430334,6.6,483,2009,True
15000000,2010-03-19,75700498,5.9,355,2010,True
8000000,1979-06-22,43000000,7.2,561,1979,True
14350531,2011-05-12,3964682,6.3,733,2011,False
15000000,2007-01-25,20380,5.7,41,2007,False
15000000,1990-12-21,201957688,5.8,628,1990,True
17000000,2009-02-06,20455276,5.6,101,2009,False
8000000,2006-04-28,18948425,6.7,81,2006,True
10000000,2010-03-19,2995811,6.3,254,2010,False
22000000,2005-11-11,57479076,6.1,319,2005,True
6000000,1995-07-19,23341568,8.1,3254,1995,True
102000000,2001-06-07,147080413,6.1,932,2001,False
30000000,2010-10-26,8454301,7.2,129,2010,False
37000000,2015-05-27,26250020,5.2,692,2015,False
75000000,1999-09-27,108000000,6.6,692,1999,False
8000000,2010-11-05,18124262,7.0,97,2010,True
50000000,2005-11-23,94000000,6.3,451,2005,True
55000000,2007-09-09,74237563,6.6,303,2007,False
90000000,1999-10-30,497366869,7.3,3806,1999,True
2500000,1963-05-29,10000000,7.5,66,1963,True
10,2013-08-30,11,6.9,26,2013,False
48000000,1998-06-26,77745568,6.5,333,1998,True
23000000,2004-09-01,16123851,5.5,73,2004,False
100000000,2009-10-16,100086793,6.4,572,2009,False
6500000,2009-11-13,1521261,7.1,119,2009,False
58000000,2008-03-24,41299492,5.7,130,2008,False
